
9-7-2019 | 13:11:50 Бот создан: ДА
9-7-2019 | 13:11:50 Подключение к Базе Данных: ПОДКЛЮЧЕНО
9-7-2019 | 13:11:50 Инициализация Бота прошла: УСПЕШНО
9-7-2019 | 13:12:14 Пользователь jesusgvn |  Выиграл(а) | Сумма: 1.25
9-7-2019 | 13:12:15 Пользователь jesusgvn |  Выиграл(а) | Сумма: 1.25
9-7-2019 | 13:12:17 Пользователь jesusgvn |  Проиграл(а) | Сумма: 1.00
9-7-2019 | 13:12:34 Пользователь jesusgvn |  Проиграл(а) | Сумма: 1.00
9-7-2019 | 13:12:35 Пользователь jesusgvn |  Проиграл(а) | Сумма: 1.00
9-7-2019 | 13:12:39 Пользователь jesusgvn |  Проиграл(а) | Сумма: 1.00
9-7-2019 | 13:12:40 Пользователь jesusgvn |  Выиграл(а) | Сумма: 1.25
9-7-2019 | 13:12:41 Пользователь jesusgvn |  Выиграл(а) | Сумма: 1.25
9-7-2019 | 13:12:54 Пользователь jesusgvn |  Проиграл(а) | Сумма: 15.00
9-7-2019 | 13:12:55 Пользователь jesusgvn |  Выиграл(а) | Сумма: 30.00
9-7-2019 | 13:12:56 Пользователь jesusgvn |  Проиграл(а) | Сумма: 15.00
9-7-2019 | 13:13:0 Пользователь jesusgvn |  Проиграл(а) | Сумма: 15.00
9-7-2019 | 13:13:1 Пользователь jesusgvn |  Проиграл(а) | Сумма: 15.00
9-7-2019 | 13:13:3 Пользователь jesusgvn |  Проиграл(а) | Сумма: 15.00
9-7-2019 | 13:13:4 Пользователь jesusgvn |  Выиграл(а) | Сумма: 30.00
9-7-2019 | 13:13:6 Пользователь jesusgvn |  Проиграл(а) | Сумма: 15.00
9-7-2019 | 13:14:3 Пользователь jesusgvn |  Выиграл(а) | Сумма: 30.00
9-7-2019 | 13:14:4 Пользователь jesusgvn |  Проиграл(а) | Сумма: 15.00
9-7-2019 | 13:14:5 Пользователь jesusgvn |  Выиграл(а) | Сумма: 30.00
9-7-2019 | 13:14:9 Пользователь jesusgvn |  Проиграл(а) | Сумма: 15.00
9-7-2019 | 13:14:11 Пользователь jesusgvn |  Проиграл(а) | Сумма: 15.00
9-7-2019 | 13:14:17 Пользователь jesusgvn |  Выиграл(а) | Сумма: 30.00
9-7-2019 | 13:14:19 Пользователь jesusgvn |  Проиграл(а) | Сумма: 15.00
